input:,output:
為什麼要推動 411 遊留學計畫？,靜宜大學認為，國際化的視野是現代人才必備的條件。透過出國遊留學，學生可以增進語文能力、體驗不同文化、拓展國際視野，提升全球競爭力。
411 遊留學計畫有哪些內容,"411 遊留學計畫包括以下內容：

* 交換學生計畫：學生可以到靜宜的姐妹校交換，修習課程、體驗當地生活。
* 遊學團：國際處每年寒暑假與姐妹校合作推出遊學團，讓學生短期體驗國外生活。
* 雙聯學制：學生可以透過雙聯學制，到國外姐妹校修習課程，取得雙學位。"
申請交換學生有哪些條件？,"申請交換學生需具備以下條件：

* 學業成績歷年平均 GPA 2.75 以上
* 依申請學校授課語言出具相關語言能力證明
* 具有勇於面對新環境的決心和彈性，以適應國外留學生活"
申請交換學生要準備哪些資料？,申請交換學生需準備以下資料：申請表、成績單、語言能力證明、推薦信、個人陳述
遊學團有哪些特色？,遊學團有以下特色：短期體驗國外生活、不需要語言門檻、可依照語言能力適性分班課程、期間安排當地觀光及文化活動、部分地區有獎學金補助、返校抵學分
雙聯學制有哪些優勢？,雙聯學制有以下優勢：獲得國外姐妹校的畢業證書、畢業即擁有雙學位、增加競爭力
如何申請遊學團？,申請遊學團可至國際處 411 遊留學中心索取報名表，或於線上報名。
如何申請雙聯學制？,申請雙聯學制可至國際處 411 遊留學中心索取報名表，或於線上報名。
新生在學役男緩徵、儘後召集如何申請？,請依照新生手冊內附表－113 學年度第 1 學期男生兵役狀況調查表，於註冊日前先行填妥並備齊相關文件。
尚未服役的學生，需要準備哪些文件？,備妥身分證正、反面影本黏貼於表格內。
已服完兵役或現役的學生，需要準備哪些文件？,"備妥身分證正、反面影本黏貼於表格內，並依身分別繳交下列資料：

* 常備役退伍令影本 
* 替代役退役證明書 
* 二階段軍事訓練結訓令 
* 補充兵證書 
* 已服畢國民兵佐證 
* 現役軍人身分證明"
免服役的學生，需要準備哪些文件？,"備妥身分證正、反面影本黏貼於表格內，並依身分別繳交下列資料： 

* 身心障礙證明 
* 免役證明"
兵役狀況調查表資料收繳日期是？,113/9/1～113/9/4（由班級輔導幹部，依新生啟航週排定之各班級活動時程表，收繳資料）
填寫兵役狀況調查表時，有哪些注意事項？,"* 請確實依照填表說明填寫，並預先備齊相關證明文件以供查核。 
* 證明文件均須正、反面影印，除身分證須裁剪黏貼於表格內，餘均隨表裝訂即可。"
若新生啟航週期間未繳交調查表或缺證明文件，會怎麼樣？,"恐影響新生役男個人權益，為免延宕承辦單位作業時程，均請於開學後三日內自行繳交至軍訓室。

承辦人：黃川政先生，分機 16226。
"
可以在哪裡查詢役男緩徵相關資訊？,可以參閱靜宜大學首頁 -> 行政單位 -> 學務處 -> 軍訓室 -> 兵役訊息網頁「在學役男新生、轉學生、復學生緩徵及儘後召集申請作業」辦理。
在學期間兵役狀況如有異動，該怎麼辦？,請持役畢或免役證明至軍訓室辦理兵役異動。
,
